行業編號,行業分類,升跌%,前升跌%,成交額,5天平均成交額,平均市盈率
100201,廣告,+0.260%,+0.370%,3.85億,6.80億,30.09
020702,農產品,+1.330%,-0.400%,9.55百萬,1.49千萬,12.00
100508,航空貨運與物流,-0.470%,-0.520%,8.84億,11.52億,14.63
100501,航空公司,+1.360%,+0.420%,4.44億,6.15億,2.05
100502,機場服務,-1.230%,-0.700%,1.99億,2.06億,7.22
080401,鋁,-6.350%,-2.240%,45.24億,32.49億,7.98
020703,禽畜飼料,+1.670%,+2.630%,2.32千,3.57萬,16.67
100301,服裝、服飾與奢侈品零售,+0.220%,-0.950%,2.99百萬,4.18百萬,6.06
020601,服裝與服飾,-0.650%,+1.360%,9.50億,6.53億,12.40
070203,應用軟件,-1.930%,+0.180%,75.78億,76.36億,7.60
020102,機動車零配件與設備,+0.190%,-0.460%,9.32億,12.12億,46.77
020101,汽車製造商,-1.660%,-0.430%,69.87億,68.64億,56.72
100302,汽車零售,+0.610%,-0.030%,2.61億,4.10億,21.74
060103,電池產品,-0.240%,-1.120%,31.88億,32.07億,5.17
020305,美容護膚產品及服務,+0.140%,+0.480%,3.89億,5.46億,19.39
100308,美容護膚產品零售,+0.850%,-2.100%,2.92百萬,3.22百萬,12.61
020204,飲品 (酒精類),-1.290%,+2.160%,11.57億,10.03億,6.44
020205,飲品 (非酒精類),-0.280%,+0.020%,9.77億,12.58億,13.38
050203,生物科技- 醫療器械,-0.460%,-1.880%,2.45億,3.72億,10.87
050201,生物科技- 製藥,-1.030%,-0.750%,45.40億,41.08億,10.14
050204,生物科技- 用品與服務,-0.950%,-0.910%,47.24億,43.60億,43.10
090102,樓宇建造,-0.300%,-0.100%,1.87億,3.05億,28.84
100405,賭場與賭博,-0.260%,-1.560%,9.96億,11.09億,279.32
020304,兒童及幼兒用品,-0.910%,+0.230%,2.49千萬,2.74千萬,1.70
060108,卷煙產品,-0.050%,+0.150%,2.99億,2.35億,16.84
030101,煤炭開採,-0.320%,+0.980%,14.10億,14.31億,6.27
030103,焦煤炭開採,-1.800%,-1.320%,2.85千萬,3.11千萬,2.71
100105,工商及專業服務,-0.510%,+1.370%,5.61千萬,6.74千萬,3.84
100102,商業印刷,+0.280%,-1.330%,2.78百萬,3.78百萬,15.89
070302,電腦硬件,-4.860%,-14.960%,6.66億,9.24億,30.78
070303,電腦存儲與周邊設備,-0.760%,-0.590%,3.59千萬,3.29千萬,37.22
010101,綜合企業,-1.420%,+0.230%,18.87億,13.08億,8.42
090101,建築與工程,+0.590%,+1.080%,7.68億,8.04億,131.48
060202,建築、農用機械與重型卡車,-2.550%,+0.450%,12.31億,17.44億,7.17
080201,建築材料,-0.810%,+0.540%,8.42億,8.27億,82.47
020401,消費電子產品,-0.410%,-1.250%,1.34億,1.43億,13.08
040201,消費信貸與貸款融資,-0.200%,+0.320%,3.16億,2.32億,18.03
020206,乳製品,-1.040%,+0.370%,7.51億,6.58億,60.39
100304,百貨商店,+1.770%,+1.450%,1.54千萬,6.51百萬,2.42
040101,綜合性銀行,-0.870%,+0.820%,118.24億,106.88億,7.48
080101,綜合化工產品,-0.800%,+1.180%,5.94億,6.14億,52.47
080402,多種金屬與礦石,-4.660%,+1.720%,120.14億,89.86億,17.92
100404,綜合旅遊、酒店及餐館食肆,+0.740%,+0.740%,1.73千萬,1.60千萬,71.73
070201,電子商貿及互聯網服務,-0.650%,+0.450%,354.78億,376.54億,141.78
100104,教育服務,+0.940%,+0.570%,28.77億,3.62億,21.15
120101,電力公用事業,-1.010%,-0.010%,15.16億,11.92億,11.45
060101,電器部件與設備,+0.270%,-0.710%,14.25億,12.11億,24.20
070305,電子元件,-0.230%,-0.860%,1.43億,1.49億,31.11
070304,電子設備與儀器,+0.070%,-1.690%,1.02億,1.10億,12.80
100103,環境與設施服務,+1.720%,+0.020%,1.34億,1.39億,15.95
060106,環保產品,-1.190%,+0.620%,6.70千萬,9.20千萬,25.09
120105,環保公用事業,-0.680%,+0.330%,2.63億,2.59億,6.28
080102,化肥與農用藥劑,-2.760%,-1.180%,1.28億,1.88億,7.72
020207,食品添加劑,-0.410%,+0.400%,2.98億,2.14億,13.07
020602,鞋類,-0.470%,-0.830%,5.25千萬,6.05千萬,5.78
080501,林業產品,-1.740%,-1.870%,8.08百萬,71.40萬,0.21
100101,殯儀服務,-0.570%,+0.120%,5.84千萬,3.24千萬,16.25
070204,遊戲軟件,0.000%,-0.170%,16.66億,15.86億,5.67
120102,燃氣公用事業,-0.870%,-0.250%,10.11億,8.66億,12.12
060104,玻璃產品,-1.540%,-2.340%,3.13億,4.29億,8.18
080601,黃金與貴金屬,-8.080%,-1.070%,159.59億,128.43億,39.61
050101,醫療保健設備,-2.070%,-0.640%,6.25億,6.82億,32.42
050102,保健護理服務,-0.520%,+0.160%,13.95億,16.80億,15.81
050103,醫療保健用品,-1.060%,-0.500%,8.74千萬,9.14千萬,13.83
060201,重型電氣設備,-0.940%,+3.040%,13.13億,19.05億,17.52
100503,公路基建,+0.090%,+1.070%,4.54億,2.27億,8.44
020404,家庭裝飾品,-0.580%,-0.350%,2.43千萬,3.68千萬,20.44
100401,酒店、度假村與豪華遊輪,-0.780%,+0.450%,1.22億,9.26千萬,3.19
020402,家用電器,-0.540%,+0.580%,16.92億,14.01億,19.05
100306,家用電器零售,-1.410%,+2.220%,3.97百萬,4.51百萬,5.65
020301,家庭用品,-0.430%,+1.520%,1.60億,7.72千萬,102.63
020403,家用器具與特殊消費品,+0.030%,-0.250%,2.28百萬,3.09百萬,4.74
100305,大賣場/超市/便利店,-0.570%,-0.180%,4.56億,10.30億,5.72
060205,工業集團企業,+0.230%,-0.230%,1.54千萬,1.05千萬,15.63
060203,工業機械,+1.020%,+0.780%,4.87億,2.86億,20.30
100505,基建投資企業,-0.770%,+1.010%,3.82億,2.17億,19.95
030201,綜合性石油與天然氣企業,+0.650%,+0.920%,74.50億,66.11億,4.83
040202,投資銀行業與經紀業,-1.070%,+1.360%,26.03億,29.58億,28.53
040204,投資公司,-0.500%,-1.530%,6.29百萬,1.03千萬,207.08
040203,投資控股及資產管理,-1.060%,+1.820%,4.67億,4.50億,21.74
080403,鋼鐵,-3.210%,+0.280%,3.40億,3.53億,8.16
070202,資訊科技諮詢與其它服務,-0.280%,-1.820%,1.37億,1.13億,122.30
070307,資訊科技產品經銷商,+0.030%,-0.560%,1.76億,2.64億,389.88
020606,皮具產品,-2.670%,+2.590%,5.31千萬,9.27千萬,3.79
020501,消閒用品,-0.230%,-1.440%,1.79千萬,2.40千萬,1.86
040301,人壽與健康保險,-0.730%,+1.770%,98.95億,82.43億,8.04
020405,照明產品,-0.820%,-1.120%,77.43萬,90.00萬,3.99
060105,液晶顯示器,-2.040%,+0.450%,1.63千萬,1.21千萬,7.50
100506,海運,-0.200%,+0.580%,9.23億,9.76億,7.52
100507,海港與服務,-0.460%,+0.400%,2.36億,3.07億,36.19
080301,金屬、玻璃與塑膠材料包裝,+0.020%,-0.270%,2.18百萬,2.32千萬,5.74
100202,電影與娛樂,-1.110%,+1.850%,8.74億,9.13億,9.50
040302,多元化保險,-0.580%,+1.320%,38.77億,27.91億,15.12
030202,石油天然氣設備與服務,-1.660%,+1.930%,10.16億,10.15億,24.12
030203,石油與天然氣勘探及生產,+0.610%,-0.310%,6.05億,3.18億,5.62
030204,石油與天然氣煉製及營銷,+0.210%,+0.490%,3.16千萬,3.83千萬,2.88
030205,石油與天然氣儲存及運輸,-0.980%,+1.860%,1.10千萬,1.28千萬,2.62
020303,視力產品,-0.780%,+1.590%,8.61千萬,1.68億,17.87
040205,其它綜合性金融服務,-1.020%,+0.290%,26.65億,25.82億,8.02
020203,包裝食品,+0.170%,-0.950%,3.93億,3.52億,26.27
080302,紙材料包裝,-0.090%,-0.120%,2.09千萬,2.61千萬,3.95
080502,紙製品,-0.930%,+1.520%,1.61億,2.01億,7.23
020302,個人用品,-0.160%,-0.180%,9.92千萬,7.03千萬,17.44
050202,製藥,-2.880%,+0.210%,86.91億,37.30億,17.96
020701,禽畜、肉類與海產,-0.950%,+1.030%,4.00億,3.20億,4.95
060102,線路板,+0.190%,-1.060%,9.00千萬,8.66千萬,14.38
040303,財產與意外傷害保險,-1.190%,+1.000%,10.02億,10.59億,8.62
090201,綜合房地產,-0.850%,+1.730%,16.63億,12.50億,4.16
090204,房地產開發,-1.570%,+5.590%,61.78億,55.20億,12.41
090202,房地產投資,-0.130%,+0.080%,8.15億,5.42億,17.83
090203,物業服務及管理,-0.480%,+2.200%,15.26億,14.00億,10.34
100203,出版,-0.380%,-1.360%,1.53億,1.30億,1.86
100504,鐵路基建,-0.650%,+0.560%,3.28億,3.12億,22.68
100402,餐館食肆,+0.320%,+2.370%,7.82億,7.30億,8.25
110102,衛星電訊服務,+1.700%,+0.240%,3.35千萬,7.99千萬,18.96
100106,安全與報警服務,-0.010%,-0.840%,3.36千萬,4.24千萬,70.43
070101,半導體產品及設備,-0.360%,-0.990%,87.86億,104.41億,35.58
060204,船舶建造,-1.770%,-2.840%,3.78千萬,4.00千萬,50.88
070306,智能手機,-1.550%,-2.320%,73.64億,67.75億,14.04
060107,太陽能產品,-1.630%,+0.890%,6.18億,9.82億,4.70
020605,體育用品,-1.240%,+1.830%,14.93億,20.95億,6.38
070205,系統軟件,-1.030%,-0.730%,11.88億,20.98億,20.72
110101,電訊服務,+0.100%,+0.490%,44.04億,47.51億,94.52
070301,電訊及網絡器材設備,+1.760%,-0.840%,44.24億,33.31億,53.71
020603,紡織品,-0.580%,+0.640%,1.40千萬,1.42千萬,7.98
020103,輪胎與橡膠,-0.390%,+0.100%,1.41百萬,4.49百萬,16.66
100403,旅遊,-1.810%,-1.450%,15.24億,22.30億,10.22
020502,玩具,+0.850%,-1.080%,26.53億,45.56億,23.82
100509,陸運,-1.030%,+1.050%,1.73億,2.46億,5.02
100204,電視廣播,-0.410%,-2.620%,4.11百萬,6.23百萬,1.71
020604,鐘錶珠寶,-2.040%,+1.470%,10.43億,20.29億,6.49
100307,鐘錶珠寶零售,+3.660%,-0.570%,5.67億,4.37億,23.98
120103,水公用事業,+0.110%,+0.840%,2.23億,1.73億,4.60
